ID	Upstream event	Relationship type	Downstream event
1049	Inhibition, Motor neuron activity	leads to	Induction, Somatic muscle paralysis
1050	Induction, Somatic muscle paralysis	leads to	Increased, Mortality
1051	Activation, ionotropic GABA Receptor chloride channel	leads to	Increased, Chloride conductance
1052	Increased, Chloride conductance	leads to	Increased, Neuronal synaptic inhibition
1053	Increased, Neuronal synaptic inhibition	leads to	Increased, Inhibitory postsynaptic potential
1054	Increased, Inhibitory postsynaptic potential	leads to	Induction, Somatic muscle paralysis
1055	Induction, Somatic muscle paralysis	leads to	Inhibition, Feeding
1056	Inhibition, Feeding	leads to	Increased, Mortality
1057	Activation, Glutamate-gated chloride channels	leads to	Increased, Chloride conductance
1058	Increased, Inhibitory postsynaptic potential	leads to	Induction, pharyngeal muscle paralysis
1059	Induction, pharyngeal muscle paralysis	leads to	Inhibition, Feeding
1060	Induction, Upregulation of glucuronyltransferase activity	leads to	Increase, Biliary excretion TH glucuronide
1061	Antagonism, Histamine Receptor (H2)	leads to	Decrease, histaminergic neuron excitation
1062	Formation, The binding of FK506 with FKBP12	leads to	Inhibition, Calcineurin Activity
1063	Increased, induction of UDPGT's in liver	leads to	Increased, T4/T3 catabolism
1064	Increased, T4/T3 catabolism	leads to	Decreased, serum T4/T3
1065	Decreased, serum T4/T3	leads to	Increased, Thyroid-stimulating hormone (TSH)
1066	Increased, Thyroid-stimulating hormone (TSH)	leads to	Increased, Hypertrophy and proliferation (follicular cell)
1067	Increased, Hypertrophy and proliferation (follicular cell)	leads to	Increased, Hyperplasia (follicular cells)
1068	Increased, Hyperplasia (follicular cells)	leads to	Increased Apoptosis, Adenomas/carcinomas (follicular cell)
1069	N/A, Neurodegeneration	leads to	Impairment, Learning and memory
1070	Inhibition, UROD	leads to	Accumulation, Highly carboxylated porphyrins
1071	Activation of specific nuclear receptors, PPAR-gamma activation	leads to	Increased, adipogenesis
1072	Activation of specific nuclear receptors, PPAR-gamma activation	leads to	Increased, secretion of local growth factors
1073	Increased, adipogenesis	leads to	Increased, secretion of local growth factors
1074	Increased, secretion of local growth factors	leads to	Increased, proliferation of mesenchymal cells
1075	Increased, secretion of local growth factors	leads to	Increased, IGF-1 (mouse)
1076	Increased, proliferation of mesenchymal cells	leads to	Increased, Firbrosarcoma
1077	Increased, proliferation of mesenchymal cells	leads to	Increased, liposarcoma
1078	Increased, proliferation of mesenchymal cells	leads to	Increased, hemagiosarcoma
1079	Activation, beta-2 adrenergic receptor	leads to	Increased activity, beta-2 adrenergic receptor
1080	Increased activity, beta-2 adrenergic receptor	leads to	relaxation, smooth muscle
1081	relaxation, smooth muscle	leads to	Proliferation/Clonal Expansion, smooth muscle
1082	Proliferation/Clonal Expansion, smooth muscle	leads to	Hypertrophy/hyperplasia, smooth muscle
1083	Hypertrophy/hyperplasia, smooth muscle	leads to	Promotion, mesovarian leiomyomas
1084	Decreased, Ovarian E2	leads to	Increased, secretion of GnRH from hypothalamus
1085	Decreased, Ovarian E2	leads to	Decrease, E2 blood concentrations at hypothalamus
1086	Suppression, Estrogen receptor (ER) activity	leads to	Decrease, E2 blood concentrations at hypothalamus
1087	Decrease, E2 blood concentrations at hypothalamus	leads to	Increased, secretion of GnRH from hypothalamus
1088	Increased, secretion of GnRH from hypothalamus	leads to	Increased, secrection of FSH from anterior pituitary
1089	Increased, secretion of GnRH from hypothalamus	leads to	Increased, secretion of LH from anterior pituitary
1090	Increased, secrection of FSH from anterior pituitary	leads to	Hyperplasia, ovarian stromal cells
1091	Increased, secrection of FSH from anterior pituitary	leads to	Hyperplasia, ovarian epithelium
1092	Increased, secretion of LH from anterior pituitary	leads to	Hyperplasia, ovarian stromal cells
1093	Hyperplasia, ovarian epithelium	leads to	Promotion, ovarian adenomas
1094	Hyperplasia, ovarian stromal cells	leads to	Promotion, ovarian granular cell tumors
1095	Increased, PPAR-alpha activation	leads to	Decreased, bile flow
1096	Increased, PPAR-alpha activation	leads to	Increased, cholestasis
1097	Increased, PPAR-alpha activation	leads to	Alteration, lipid metabolism
1098	prolonged, elevation of serun CCK	leads to	Increased, Cellular proliferation / hyperplasia of acinar cells
1099	Increased, Cellular proliferation / hyperplasia of acinar cells	leads to	Increased, Pancreatic acinar tumors
1100	Increased, cholestasis	leads to	prolonged, elevation of serun CCK
1101	Decreased, bile flow	leads to	Increased, cholestasis
1102	prepubertal increase, Estrogen receptor (ER) activity	leads to	Activation, estrogen receptor alpha
1103	Activation, estrogen receptor alpha	leads to	Promotion, SIX-1 postive basal-type progenitor cells
1104	Promotion, SIX-1 postive basal-type progenitor cells	leads to	Proliferation/Clonal Expansion, aberrant basal cells
1105	Proliferation/Clonal Expansion, aberrant basal cells	leads to	squamous metaplasia, aberrant basal cells
1106	squamous metaplasia, aberrant basal cells	leads to	Increased, Hyperplasia (glandular epithelial cells of endometrium)
1107	Increased, Hyperplasia (glandular epithelial cells of endometrium)	leads to	Increased, adenosquamous carcinomas of endometrium
1108	Decreased, GnRH pulsatility/release in hypothalamus	leads to	Decreased, LH Surge from anterior pituitary
1109	Decreased, LH Surge from anterior pituitary	leads to	interruption, Ovulation
1110	Decreased, LH Surge from anterior pituitary	leads to	prolonged, estrus
1111	prolonged, estrus	leads to	Increased, circulating estrogen levels
1112	prolonged, estrus	leads to	Increased, prolactin exposure
1113	Increased, circulating estrogen levels	leads to	Hyperplasia, Mammary gland
1114	Increased, prolactin exposure	leads to	Hyperplasia, Mammary gland
1115	Hyperplasia, Mammary gland	leads to	Increased, latency period
1116	Hyperplasia, Mammary gland	leads to	Increased, Adenomas/carcinomas (mammary)
1117	Increased, latency period	leads to	Increased, Adenomas/carcinomas (mammary)
1118	interruption, Ovulation	leads to	Increased, circulating estrogen levels
1119	Increased, circulating estrogen levels	leads to	Increased, lactotroph hyperplasia and hypertrophy
1120	Increased, lactotroph hyperplasia and hypertrophy	leads to	Increased, adenomas (pituitary)
1121	Decreased, Dopaminergic activity	leads to	Increased, prolactin secretion
1122	Increased, prolactin secretion	leads to	Increased, hyperplasia (mammary gland)
1123	Increased, hyperplasia (mammary gland)	leads to	Increased, latency period
1124	Increased, hyperplasia (mammary gland)	leads to	Increased, Adenomas/carcinomas (mammary)
1125	persistent, cytotoxicity (pleura or peritoneum)	leads to	Increased, inflammation
1126	persistent, cytotoxicity (pleura or peritoneum)	leads to	Increased, Oxidative Stress
1127	Increased, inflammation	leads to	Increased, secretion of local growth factors
1128	Increased, Oxidative Stress	leads to	Increased, secretion of local growth factors
1129	Increased, secretion of local growth factors	leads to	Increased, Cell Proliferation (mesothelium)
1130	Increased, Cell Proliferation (mesothelium)	leads to	Increased, mesotheliomas
1131	Inhibition, organic anion transporter 1 (OAT1)	leads to	Increased, blood uric acid concentration
1132	Increased, blood uric acid concentration	leads to	Occurrence, tophi (urate) deposition
1133	Occurrence, tophi (urate) deposition	leads to	Occurrence, renal proximal tubular necrosis
1134	Occurrence, renal proximal tubular necrosis	leads to	Increased, blood potassium concentration
1135	Increased, blood potassium concentration	leads to	Occurrence, cardiac arrthymia
1136	Occurrence, cardiac arrthymia	leads to	Increased, Mortality
1137	Inhibition, Cyclooxygenase 1 activity	leads to	Decreased, Prostaglandin F2alpha concentration, plasma 
1138	Decreased, Prostaglandin F2alpha concentration, plasma 	leads to	Occurrence, renal ischemia
1139	Occurrence, renal ischemia	leads to	Occurrence, renal proximal tubular necrosis
1140	Increased, blood potassium concentration	leads to	Occurrence, cardiac arrhythmia
1141	Occurrence, cardiac arrhythmia	leads to	Increased, Mortality
1142	Decreased, Thyroxine (T4) in tissues	leads to	Altered, Amphibian metamorphosis
1143	T4 in serum, Decreased	leads to	Decreased, Thyroxine (T4) in tissues
1144	Abnormal, Foraging activity and behavior	leads to	Weakened, Colony
1145	Weakened, Colony	leads to	Death/Failure, Colony
1146	Activation, Nicotinic acetylcholine receptor	leads to	Impairment, Learning and memory
1147	Activation, Nicotinic acetylcholine receptor	leads to	Abnormal, Foraging activity and behavior
1148	Abnormal, Foraging activity and behavior	leads to	Abnormal, Roll change within caste
1149	Abnormal, Roll change within caste	leads to	Weakened, Colony
1150	Abnormal, Foraging activity and behavior	leads to	Abnormal, Role change within caste
1151	Abnormal, Role change within caste	leads to	Weakened, Colony
1152	N/A, Mitochondrial dysfunction 1	leads to	impaired, Hive thermoregulation
1153	impaired, Hive thermoregulation	leads to	Weakened, Colony
1154	N/A, Mitochondrial dysfunction 1	leads to	Weakened, Colony
1155	Increased, Deformed Wing Virus levels	leads to	Weakened, Colony
1156	Occurrence, renal proximal tubular necrosis	leads to	Increased, blood uric acid concentration
1157	Increased, Energetic demands and therefore metabolic stress	leads to	Abnormal, Foraging activity and behavior
1158	Increased, blood uric acid concentration	leads to	Increased, Oxidative Stress
1159	Occurrence, renal ischemia	leads to	Increased, Oxidative Stress
1160	Increased, Oxidative Stress	leads to	Occurrence, renal proximal tubular necrosis
1161	Unknown, MIE	leads to	Increased, Reactive oxygen species
1162	Increased, Reactive oxygen species	leads to	Increased, Oxidative Stress
1163	Decreased, Thyroxine (T4) in tissues	leads to	Decreased, Triiodothyronine (T3) in tissues
1164	Decreased, Triiodothyronine (T3) in tissues	leads to	Altered, Amphibian metamorphosis
1165	Failure in gamma-glutamyl carboxylation of clotting factors II, VII, IX and X, Under carbo	leads to	Hemostasis, Depletion from blood of fully functional carboxylated clotting factors
1166	Hemostasis, Depletion from blood of fully functional carboxylated clotting factors	leads to	Under carboxylated clotting factors will not assemble on cell surfaces to form clot, Failur
1167	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle 	leads to	Failure in gamma-glutamyl carboxylation of clotting factors II, VII, IX and X, Under carbo
1168	Under carboxylated clotting factors will not assemble on cell surfaces to form clot, Failur	leads to	Failure in vascular repair mechanisms, Unresolved blood loss (hemorrhage)
1169	Failure in vascular repair mechanisms, Unresolved blood loss (hemorrhage)	leads to	Blood loss and development of anemia, Impaired oxygen delivery and nutrient delivery to tis
1170	Blood loss and development of anemia, Impaired oxygen delivery and nutrient delivery to tis	leads to	Reduced fitness or even mortality, Acidosis, hypovolemic shock and organ dysfunction
1171	Reduced fitness or even mortality, Acidosis, hypovolemic shock and organ dysfunction	leads to	Impaired recruitment , Population trajectory
1172	Increased, serotonin (5-HT) 1	leads to	Increased, valve movement
1173	Increased, valve movement	leads to	Depletion, energy reserves
1174	Increased, valve movement	leads to	Increased, water retention in foot
1175	Increased, water retention in foot	leads to	Increased, foot detachment
1176	Increased, foot detachment	leads to	Depletion, energy reserves
1177	Increased, locomotion	leads to	Depletion, energy reserves
1178	Increase, cilia movement	leads to	premature, spawning 1
1179	premature, spawning 1	leads to	Decreased, Reproductive Success
1180	Decreased, Reproductive Success	leads to	Decline, Population
1181	Depletion, energy reserves	leads to	Delayed, Sexual maturity
1182	Delayed, Sexual maturity	leads to	Decreased, Reproductive Success
1183	Increased, foot detachment	leads to	Increase, predation
1184	Increase, predation	leads to	Decline, Population
1185	Depletion, energy reserves	leads to	Increase, predation
1186	Increased, serotonin (5-HT) 1	leads to	Decreased, gametogenesis
1187	Increase, cilia movement	leads to	premature, Spawning 
1188	Decreased, gametogenesis	leads to	Decreased, Reproductive Success
1189	Increased, serotonin (5-HT) 1	leads to	Increased, locomotion
1190	Induction, Incomplete ecdysis	leads to	Increased, Mortality
1191	Increased, Mortality	leads to	Decreased, Population size
1192	Increased, serotonin (5-HT) 1	leads to	increased or inappropriate, mantel display
1193	increased or inappropriate, mantel display	leads to	Decreased, Reproductive Success
1194	Anticoagulant rodenticide interferes with gamma-carboxyglutamate formation, Inhibition of p	leads to	Calcium cannot bind to the hydroxyapatite matrix of bone, Osteocalcin and other bone protei
1195	Calcium cannot bind to the hydroxyapatite matrix of bone, Osteocalcin and other bone protei	leads to	Uncarboxylated osteocalcin not incorporated into bone matrix, decreasing bone strength, Imp
1196	Uncarboxylated osteocalcin not incorporated into bone matrix, decreasing bone strength, Imp	leads to	Osteoporosis and vascular calcification, Bone deterioration
1197	Inhibition, Iodotyrosine deiodinase (IYD)	leads to	Thyroidal Iodide, Decreased
1198	Inhibition, Deiodinase 1	leads to	Decreased, Triiodothyronine (T3) in tissues
1199	Inhibition, Deiodinase 2	leads to	Decreased, Triiodothyronine (T3) in tissues
1200	Inhibition, Deiodinase 3	leads to	Increased, Triiodothyronine (T3) in tissues
1201	Increased, Triiodothyronine (T3) in tissues	leads to	Altered, Amphibian metamorphosis
1202	Inhibition, Pendrin	leads to	TH synthesis, Decreased
1203	Inhibition, Dual oxidase	leads to	TH synthesis, Decreased
1204	Activation, Hepatic nuclear receptor(s)	leads to	Increased, Hepatic thyroid hormone uptake/transport
1205	Activation, Hepatic nuclear receptor(s)	leads to	Induction, Upregulation of glucuronyltransferase activity
1206	Increased, Hepatic thyroid hormone uptake/transport	leads to	Increase, Biliary excretion TH glucuronide
1207	Increased, serotonin (5-HT) 	leads to	Increased, mantel display
1208	"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)"	leads to	Increased, cilia movement
1209	Increased, serotonin (5-HT) 	leads to	Increased, cilia movement
1210	Increased, cilia movement	leads to	premature, Spawning 
1211	premature, Spawning 	leads to	Increased, Population
1212	Increased, serotonin (5-HT) 	leads to	Increased, oocyte maturation
1213	Increased, oocyte maturation	leads to	Increased, Reproductive Success
1214	Increased, mantel display	leads to	Increased, Reproductive Success
1215	Increased, Reproductive Success	leads to	Increased, Population
1216	Increased, valve movement	leads to	Increased, water pumping
1217	Increase, cilia movement	leads to	Increased, water pumping
1218	Increase, cilia movement	leads to	Depletion, energy reserves
1219	increased or inappropriate, mantel display	leads to	Depletion, energy reserves
1220	increased or inappropriate, mantel display	leads to	induced, parturition
1221	induced, parturition	leads to	Decreased, Reproductive Success
1222	premature, Spawning 	leads to	Decreased, Reproductive Success
1223	Increased, water retention in foot	leads to	Increased, valve movement
1224	Increased, water pumping	leads to	Increased, water retention in foot
1225	Increased, water pumping	leads to	premature, Spawning 
1226	Increased, water pumping	leads to	induced, parturition
1227	Increased, valve movement	leads to	Increase, predation
1228	Increased, muscular waves in foot	leads to	Depletion, energy reserves
1229	Activation, PPAR_	leads to	modulation, Genes/proteins that regulate hepatocyte fate
1230	modulation, Genes/proteins that regulate hepatocyte fate	leads to	Increase, Mitogenic cell proliferation (hepatocytes)
1231	modulation, Genes/proteins that regulate hepatocyte fate	leads to	Increase, Clonal Expansion / Cell Proliferatin to form Pre-Neoplastic Altered Hepatic Foci
1232	Increase, Clonal Expansion / Cell Proliferatin to form Pre-Neoplastic Altered Hepatic Foci	leads to	Increase, Adenomas/carcinomas (hepatocellular)
1233	Activation, PPAR_	leads to	Increase, Genes involved in fatty acid oxidation
1234	Increase, Genes involved in fatty acid oxidation	leads to	Peptide Oxidation
1235	Activation, NADPH Oxidase	leads to	Peptide Oxidation
1236	Activation, PPAR_	leads to	Activation, NADPH Oxidase
1237	Peptide Oxidation	leads to	Increase activation, Nuclear factor kappa B (NF-kB)
1238	Increase activation, Nuclear factor kappa B (NF-kB)	leads to	modulation, Genes/proteins that regulate hepatocyte fate
1239	Increase, Mitogenic cell proliferation (hepatocytes)	leads to	Increase, Clonal Expansion / Cell Proliferatin to form Pre-Neoplastic Altered Hepatic Foci
1240	Increase, Genes involved in fatty acid oxidation	leads to	Increase, Peroxisomal Fatty Acid Beta Oxidation of Fatty Acids
1241	Increase, Peroxisomal Fatty Acid Beta Oxidation of Fatty Acids	leads to	Peptide Oxidation
1242	Inhibition, sodium channel	leads to	Decreased, sodium conductance 2
1243	Decreased, sodium conductance 2	leads to	Decreased, Ionotropic GABA receptor chloride channel conductance
1244	Decreased, sodium conductance 2	leads to	Decreased, GABA release
1245	Decreased, GABA release	leads to	Decreased, Chloride conductance
1246	Activation, Estrogen receptor	leads to	Increased, ER binding to DNA (classical pathway) 
1247	Increase, Cell Proliferation (Epithelial Cells)	leads to	Increased, Ductal Hyperplasia 
1248	Decreased, Apoptosis (Epithelial Cells)	leads to	Increased, Ductal Hyperplasia 
1249	Activation, Estrogen receptor	leads to	Increased, ER binding to T.F. to DNA (non-classical pathway)
1250	Increased, ER binding to DNA (classical pathway) 	leads to	Increase, Cell Proliferation (Epithelial Cells)
1251	Increased, ER binding to T.F. to DNA (non-classical pathway)	leads to	Increase, Cell Proliferation (Epithelial Cells)
1252	Increased, Ductal Hyperplasia 	leads to	N/A, Breast Cancer
1253	Binding, Immunophilins	leads to	Inhibition, Calcineurin Activity
1254	Inhibition, Calcineurin Activity	leads to	Suppression, IL-2 and IL-4 production
1255	Suppression, IL-2 and IL-4 production	leads to	Interference, nuclear localization of NFAT
1256	Reduction, NFAT complex formation	leads to	Suppression, Suppression of production of cytotoxic T-cells
1257	Reduction, NFAT complex formation	leads to	Suppression, Suppression of T-cell dependent antibody production
1258	Suppression, Suppression of production of cytotoxic T-cells	leads to	Impairment, T-cell dependent antibody response
1259	Suppression, Suppression of T-cell dependent antibody production	leads to	Increase, Increased susceptibility to infection
1260	Suppression, Suppression of production of cytotoxic T-cells	leads to	Increase, Increased susceptibility to infection
1261	Activation, Juvenile hormone receptor	leads to	Induction, Doublesex1 gene
1262	Induction, Doublesex1 gene	leads to	Induction, Male reproductive tract
1263	Induction, Male reproductive tract	leads to	Increased, Male offspring
1264	Increased, Male offspring	leads to	Decline, Population
1265	Decline, Population	leads to	Alteration, Food-web structures
1266	Increased, Proliferation (Endothelial cells) 	leads to	Increased, Angiogenesis
1267	Increased, Migration (Endothelial Cells)	leads to	Increased, Angiogenesis
1268	Activation, Constitutive androstane receptor	leads to	Altered gene expression specific to CAR activation, Hepatocytes
1269	Altered gene expression specific to CAR activation, Hepatocytes	leads to	Increase, Mitogenic cell proliferation (hepatocytes)
1271	TRPA1 activation, TRPA1 Receptor	leads to	Opening of calcium channel, Calcium influx
1272	Opening of calcium channel, Calcium influx	leads to	Sensory airway irritation, Excitation of trigeminal nerves
1273	Sensory airway irritation, Excitation of trigeminal nerves	leads to	Cough, Dyspnea, Sneezing, Acute respiratory effect
1274	Opening of calcium channel, Calcium influx	leads to	Excitation, Neuron nerve ending excitation
1275	Excitation, Neuron nerve ending excitation	leads to	Cough, Dyspnea, Sneezing, Acute respiratory effect
1276	Excitation, Neuron nerve ending excitation	leads to	Nerve excitation
1277	Non-neuronal production of TNF, Epithelial irritation	leads to	Leukocyte infiltration
1278	Leukocyte infiltration	leads to	Chronic Cough, Respiratory irritability
1279	SP (Substance P) release, Local increase of SP	leads to	Non-neuronal production of TNF, Epithelial irritation
1280	Opening of calcium channel, Calcium influx	leads to	SP (Substance P) release, Local increase of SP
1281	TRPV1 activation, TRPV1	leads to	Opening of calcium channel, Calcium influx
1282	Oxidization of biomolecules, Lipid bilayer and cellular proteins	leads to	TRPA1 activation, TRPA1 Receptor
1283	Production of nerve growth factor , Epithelial irritation	leads to	SP (Substance P) release, Local increase of SP
1284	TRPA1 activation, TRPA1 Receptor	leads to	Non-neuronal production of IL-8/CXCL1, Epithelial irritation
1285	Oxidization of biomolecules, Lipid bilayer and cellular proteins	leads to	Generation of novel epitopes , Antigen presentation
1286	Oxidization of biomolecules, Lipid bilayer and cellular proteins	leads to	Production of nerve growth factor , Epithelial irritation
1287	Non-neuronal production of IL-8/CXCL1, Epithelial irritation	leads to	Opening of calcium channel, Calcium influx
1288	Non-neuronal production of TNF, Epithelial irritation	leads to	Opening of calcium channel, Calcium influx
1289	Generation of novel epitopes , Antigen presentation	leads to	Sensitization, Immune system
1290	Leukocyte infiltration	leads to	Sensitization, Immune system
1291	Oxidation	leads to	Generation of novel epitopes , Antigen presentation
1292	Oxidation	leads to	TRPA1 activation, TRPA1 Receptor
1293	Oxidation	leads to	Production of nerve growth factor , Epithelial irritation
1294	Activation, Estrogen receptor	leads to	Increased, Non-genomic signaling
1295	Increased, Non-genomic signaling	leads to	Increased, ER binding to T.F. to DNA (non-classical pathway)
1296	Increased, ER binding to DNA (classical pathway) 	leads to	Altered, Gene Expression
1297	Increased, ER binding to T.F. to DNA (non-classical pathway)	leads to	Altered, Gene Expression
1298	Altered, Gene Expression	leads to	Altered, Protein Production
1299	Altered, Protein Production	leads to	Increased, Oxidative Stress
1300	Increased, Oxidative Stress	leads to	Increase, DNA Damage
1301	Increase, DNA Damage	leads to	Altered, Gene Expression
1302	Increased, Non-genomic signaling	leads to	Altered, Gene Expression
1303	Altered, Protein Production	leads to	Increased, Proliferation (Endothelial cells) 
1304	Altered, Protein Production	leads to	Decreased, Apoptosis (Epithelial Cells)
1305	Altered, Protein Production	leads to	Increased, Motility
1306	Increased, Motility	leads to	Increased, Invasion
1307	Activation, Estrogen receptor	leads to	Increased, Second Messenger Production
1308	Increased, Second Messenger Production	leads to	Increased, Non-genomic signaling
1309	Desensitization, Nicotinic acetylcholine receptor	leads to	Altered, Ca2+-calmodulin activated signal transduction
1310	Altered, Ca2+-calmodulin activated signal transduction	leads to	Impairment, Learning and memory
1311	N/A, Mitochondrial dysfunction 1	leads to	Altered, Ca2+-calmodulin activated signal transduction
1312	Goblet cell hyperplasia	leads to	Increase, Mucin production
1313	Occurrence, Metaplasia of goblet cells	leads to	Increase, Mucin production
1314	Chronic, Mucus hypersecretion	leads to	Decrease, Lung function
1315	Increase, Mucin production	leads to	Chronic, Mucus hypersecretion
1316	"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)"	leads to	Increased, muscular waves in foot
1317	"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)"	leads to	Increased, valve movement
1318	"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)"	leads to	Increase, cilia movement
1319	"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)"	leads to	increased mantel display
1320	Increased, valve movement	leads to	induced spawning
1321	Increase, cilia movement	leads to	induced spawning
1322	increased mantel display	leads to	Induced parturition
1323	Induced parturition	leads to	Decreased, Reproductive Success
1324	induced spawning	leads to	Decreased, Reproductive Success
1325	induced spawning	leads to	Increased, Reproductive Success
1326	Induced parturition	leads to	Increased, Reproductive Success
1327	Increased, serotonin (5-HT) 	leads to	Increased, valve movement
1328	Increased, oocyte maturation	leads to	induced spawning
1329	Increased, cilia movement	leads to	induced spawning
1330	DNA topoisomerase II “poisons”	leads to	MLL translocation
1331	MLL translocation	leads to	IFL
1332	Increased, serotonin (5-HT) 	leads to	Increased, muscular waves in foot
1333	Increased, serotonin (5-HT) 	leads to	Increase, cilia movement
1334	Increased, valve movement	leads to	Induced parturition
1335	Increase, cilia movement	leads to	Induced parturition
1336	Increased, serotonin (5-HT) 	leads to	increased mantel display
1337	"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)"	leads to	Increased, oocyte maturation
1338	Decompartmentalization	leads to	Mitochondrial impairment
1339	Direct mitochondrial inhibition	leads to	Mitochondrial impairment
1340	narcosis	leads to	Mitochondrial impairment
1341	Mitochondrial impairment	leads to	Apoptosis
1342	Mitochondrial impairment	leads to	Necrosis
1343	Activation, EcR	leads to	Induction, E75b gene
1344	Induction, E75b gene	leads to	Suppression, Ftz-f1 gene
1345	Suppression, Ftz-f1 gene	leads to	Reduction, Release of circulating ETH
1346	Reduction, Release of circulating ETH	leads to	Reduction, Release of circulating CCAP
1347	Reduction, Release of circulating CCAP	leads to	Reduction, Ecdysis motoneuron bursts
1348	Reduction, Ecdysis motoneuron bursts	leads to	Reduction, Excitatory postsynaptic potential
1349	Reduction, Excitatory postsynaptic potential	leads to	Reduction, Abdominal muscle contraction
1350	dimerization, AHR/ARNT	leads to	Increase, COX-2 expression
1351	Increase, COX-2 expression	leads to	Altered, Cardiovascular development/function
1352	Altered, Cardiovascular development/function	leads to	Increase, Mortality
1353	Inactivation of PPAR_	leads to	Activation of TGF-_ signaling
1354	Activation of TGF-_ signaling	leads to	Differentiation of Myofibroblast
1355	Activation of TGF-_ signaling	leads to	Expression of Collagen
1356	Differentiation of Myofibroblast	leads to	Production of _-smooth muscle actin
1357	Expression of Collagen	leads to	Collagen Deposition
1358	Production of _-smooth muscle actin	leads to	Lung fibrosis
1359	Collagen Deposition	leads to	Lung fibrosis
1360	Activation, NADPH Oxidase	leads to	ROS formation
1361	ROS formation	leads to	Increase, Oxidative Stress / Activation, PMK-1 P38 MAPK
1362	Increase, Oxidative Stress / Activation, PMK-1 P38 MAPK	leads to	Increased, DNA Damage-Repair
1363	Increase, Oxidative Stress / Activation, PMK-1 P38 MAPK	leads to	Damaging, Mitochondria
1364	Increase, Oxidative Stress / Activation, PMK-1 P38 MAPK	leads to	Activation, HIF-1
1365	Activation, HIF-1	leads to	Apoptosis
1366	Increased, DNA Damage-Repair	leads to	Apoptosis
1367	Damaging, Mitochondria	leads to	Apoptosis
1368	Apoptosis	leads to	Reproductive failure
1369	Activation, JAK/STAT pathway	leads to	Activation, TGF-beta pathway
1370	Activation, TGF-beta pathway	leads to	Reproductive failure
1371	Up Regulation, SREBF2	leads to	Up Regulation, Unsaturated fatty acid
1372	Up Regulation, Unsaturated fatty acid	leads to	Perturbation of cholesterol
1373	Down Regulation, GSS and GSTs gene	leads to	Glutathione synthesis
1374	Glutathione synthesis	leads to	Activation, 3-hydroxy-3-methylglutaryl-CoA reductase gene
1375	Activation, 3-hydroxy-3-methylglutaryl-CoA reductase gene	leads to	Perturbation of cholesterol
1376	Down Regulation, GSS and GSTs gene	leads to	Glutathione homeostasis
1377	Perturbation of cholesterol	leads to	Hepatotoxicity
1378	Glutathione homeostasis	leads to	Hepatotoxicity
1379	Peptide Oxidation	leads to	Activation, JNK
1380	Activation, JNK	leads to	Activation, FOXO
1381	Activation, FOXO	leads to	Inhibition, Wnt pathway
1382	Inhibition, Wnt pathway	leads to	Defect of Embryogenesis
1383	Defect of Embryogenesis	leads to	Reproductive failure
1384	Agonism, Androgen receptor	leads to	Reduction, 17beta-estradiol synthesis by ovarian granulosa cells
1385	Agonism, Androgen receptor	leads to	Reduction, Vitellogenin synthesis in liver
1386	Reduction, Plasma 17beta-estradiol concentrations	leads to	Reduction, Plasma vitellogenin concentrations
1387	T4 in serum, Decreased	leads to	Hippocampal gene expression, Altered 
1388	T4 in serum, Decreased	leads to	Hippocampal anatomy, Altered 
1389	T4 in serum, Decreased	leads to	Hippocampal Physiology, Altered
1390	Increase, insulin	leads to	Activation, insulin receptor 
1391	Activation, insulin receptor 	leads to	Activation, mTORC2
1392	Activation, mTORC2	leads to	Activation, AKT
1393	Activation, mTORC2	leads to	Activation, mTORC1
1394	Activation, AKT	leads to	Activation, SREBP-1
1395	Activation, mTORC1	leads to	Activation, L-FABP 
1396	Activation, mTORC1	leads to	Activation, HSD17B4
1397	Activation, SREBP-1	leads to	Activation, FXR
1398	Activation, AKT	leads to	Activation, mTORC1
1399	Activation, mTORC1	leads to	Activation, SREBP-1
1400	Activation, AKT	leads to	Activation, L-FABP 
1401	Activation, L-FABP 	leads to	Increase, cytosolic fatty acid
1402	demethylation, PPARg promoter	leads to	Activation, SREBP-1
1403	Activation, SREBP-1	leads to	Activation, SCD-1
1404	Activation, SCD-1	leads to	Increased, lipogenesis
1405	Increased, lipogenesis	leads to	Increase, cytosolic fatty acid
1406	Activation, NRF2	leads to	Activation, FXR
1407	Activation, FXR	leads to	Activation, SHP
1408	Activation, FXR	leads to	Activation, PPAR_
1409	Activation, SHP	leads to	Activation, PPAR_
1410	Activation, PPAR_	leads to	Activation, HSD17B4
1411	Activation, HSD17B4	leads to	Inhibition, Mitochondrial fatty acid beta-oxidation
1412	Activation, SHP	leads to	Inhibition, LXR
1413	Inhibition, LXR	leads to	Inhibition, PPAR alpha
1414	Activation, SHP	leads to	Inhibition, LRH-1
1415	Activation, HSD17B4	leads to	Induction, fatty acid beta-oxidation
1416	Induction, fatty acid beta-oxidation	leads to	Inhibition, Steatosis
